Time,EV_dmd_1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,50000
57,50000
58,50000
59,50000
60,50000
61,50000
62,50000
63,50000
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,50000
72,50000
73,50000
74,50000
75,50000
76,50000
77,50000
78,50000
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,50000
87,50000
88,50000
89,50000
90,50000
91,50000
92,50000
93,50000
94,50000
95,50000
96,50000
97,50000
98,50000
99,0
100,0
101,0
102,50000
103,50000
104,50000
105,50000
106,50000
107,50000
108,50000
109,50000
110,50000
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,50000
119,50000
120,50000
121,50000
122,50000
123,50000
124,50000
125,50000
126,50000
127,50000
128,50000
129,50000
130,50000
131,50000
132,50000
133,50000
134,50000
135,50000
136,50000
137,50000
138,50000
139,50000
140,50000
141,50000
142,50000
143,50000
144,50000
145,50000
146,50000
147,50000
148,50000
149,50000
150,50000
151,50000
152,50000
153,50000
154,50000
155,50000
156,50000
157,50000
158,50000
159,50000
160,50000
161,50000
162,50000
163,50000
164,50000
165,50000
166,50000
167,50000
168,50000
169,50000
170,50000
171,50000
172,50000
173,50000
174,50000
175,50000
176,50000
177,50000
178,50000
179,50000
180,50000
181,50000
182,50000
183,50000
184,50000
185,50000
186,50000
187,50000
188,50000
189,50000
190,50000
191,50000
192,50000
193,50000
194,50000
195,50000
196,50000
197,50000
198,50000
199,50000
200,50000
201,50000
202,50000
203,50000
204,50000
205,50000
206,50000
207,50000
208,50000
209,50000
210,50000
211,50000
212,50000
213,50000
214,50000
215,50000
216,50000
217,50000
218,50000
219,50000
220,50000
221,50000
222,50000
223,50000
224,50000
225,50000
226,50000
227,50000
228,50000
229,50000
230,50000
231,50000
232,0
233,0
234,0
235,0
236,0
237,50000
238,50000
239,50000
240,50000
241,50000
242,50000
243,0
244,0
245,0
246,0
247,0
248,0
249,50000
250,50000
251,50000
252,50000
253,50000
254,50000
255,50000
256,50000
257,50000
258,50000
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
